# oracle-missable-queue.tsv -- HUMAN REVIEW QUEUE for the checks a second source tags MISSABLE,
# ours does not, and OUR OWN questline-condition extraction shows gated on a permanently losable
# root. AUTO-REFRESHED by `tools/matt_oracle.py --missable-queue` against a LOCAL
# thefifthmatt/SoulsRandomizers checkout; the status/reviewer/note columns are the only hand-edited
# ones and are carried across a refresh by (flag, ap_id).
#
# 🛑 LICENCE BOUNDARY. Nothing in this file is his. Every column is OUR flag, OUR ap_id, OUR
# location name, OUR questline-condition root classes, or a reviewer's own words. The `basis`
# column records ONLY that a second source tags this flag missable and we do not -- never its Text,
# never its area, never any other tag it carries. Rule from OUR evidence (the questline_conditions
# rows and what they depend on, the quest features that reference the flag), not from his sheet.
# See AGENTS.md "MATT ORACLE".
#
# THIS FILE IS NOT A DEFECT LIST. Two models drew the missable line in different places; a row here
# is a question. `confirmed-not-missable` is as real an outcome as `missable`.
#
# our_conditions: OUR questline_conditions.tsv root classes on this award site, '+'-joined. A root
#   is a gate our extractor SAW, never a proof that the check is missable -- see that file's header.
# status:   open | confirmed-not-missable | missable
# reviewer: who ruled it (free text; two reviewers work the queue, so say which one)
# note:     the reviewer's own reason. A `missable` verdict must name the MECHANISM in our own
#   words -- limited-consumable / killable-npc / questline-progress -- because gen_data's
#   MISSABLE_LOCATIONS values are a closed vocabulary (deathroot, alt_currency:N, gesture_award,
#   questline, questline_item) and a verdict that does not map onto one cannot be applied.
#
# 🛑 A `missable` verdict is APPLIED ELSEWHERE, in a later change, through the normal missable
# derivation in greenfield/gen_data.py. Never by editing tables/missable_locations.py, and never
# from this file: it is a review record, not a second missable source.
flag	ap_id	our_name	our_conditions	basis	status	reviewer	note
60500	7770025	Roundtable Hold :: Talisman Pouch - from Twin Maiden Husks [f60500]	DIALOGUE_STEP+NPC_STATE	second-source-missable-disagrees	open		
400031	7770557	Liurnia :: Lord of Blood's Favor - m10_01 (1) [f400031]	DIALOGUE_STEP+ITEM_POSSESSION+NPC_STATE	second-source-missable-disagrees	open		
400050	7770561	Limgrave :: Grace Mimic - around Waypoint Ruins Cellar, may be sweep-granted by Mad Pumpkin Head (m60_44_36) [f400050]	DIALOGUE_STEP+ITEM_POSSESSION+NPC_STATE	second-source-missable-disagrees	open		
400073	7770566	Mt. Gelmir :: Letter from Volcano Manor - around Volcano Manor (1), may be sweep-granted by Abductor Virgin (Swinging Sickle) (m16_00) [f400073]	DIALOGUE_STEP+NPC_STATE	second-source-missable-disagrees	open		
400074	7770567	Mt. Gelmir :: Letter from Volcano Manor - around Volcano Manor (2), may be sweep-granted by Rykard, Lord of Blasphemy (m16_00) [f400074]	DIALOGUE_STEP+ITEM_POSSESSION+NPC_STATE	second-source-missable-disagrees	open		
400075	7770568	Mt. Gelmir :: Red Letter - around Volcano Manor, may be sweep-granted by Godskin Noble (m16_00) [f400075]	DIALOGUE_STEP+ITEM_POSSESSION+NPC_STATE	second-source-missable-disagrees	open		
400090	7773705	Mt. Gelmir :: Volcano Manor Invitation - around Volcano Manor, may be sweep-granted by Rykard, Lord of Blasphemy (m16_00) [f400090]	DIALOGUE_STEP+ITEM_POSSESSION+NPC_STATE	second-source-missable-disagrees	open		
400148	7770576	Liurnia :: Seluvis's Bell Bearing - near Royal Moongazing Grounds, may be sweep-granted by Glintstone Dragon Adula (m60_34_50) [f400148]	DIALOGUE_STEP+ITEM_POSSESSION+NPC_STATE	second-source-missable-disagrees	open		
400148	7900008	Liurnia :: Preceptor's Big Hat - near Royal Moongazing Grounds, may be sweep-granted by Glintstone Dragon Adula (m60_34_50) [f400148]	DIALOGUE_STEP+ITEM_POSSESSION+NPC_STATE	second-source-missable-disagrees	open		
400148	7900009	Liurnia :: Preceptor's Long Gown - near Royal Moongazing Grounds, may be sweep-granted by Glintstone Dragon Adula (m60_34_50) [f400148]	DIALOGUE_STEP+ITEM_POSSESSION+NPC_STATE	second-source-missable-disagrees	open		
