# AUTO-GENERATED by tools/derive_sweep_anchor_coords.py -- DO NOT EDIT, re-emit.
# WEAK ANCHOR, NOT A MEASUREMENT. Each row says: this check is a MEMBER of the
# sweep triggered by <trigger_defeat_flag>, and that boss is fought at <x,y,z>.
# A member sits BEHIND its trigger, not AT it (boss_sweeps scopes members by
# class, and #445 records triggers outside their members' region). Present it as
# an AREA, never with the wording used for an item_grace_coords position.
# Positions are MAP-LOCAL, the same space as item_grace_coords.
#
# EMITTED 622.
# REFUSED 0 AMBIGUOUS SWEEP
# REFUSED 42 NO ARENA:
#    7770886 (trigger 12030390)
#    7771403 (trigger 12030390)
#    7771406 (trigger 12030390)
#    7771407 (trigger 12030390)
#    7900026 (trigger 12030390)
#    7774073 (trigger 30130810)
#    7774075 (trigger 30130810)
#    7772421 (trigger 34110800)
#    7770835 (trigger 1036450800)
#    7770851 (trigger 1036450800)
#    7774243 (trigger 1036450800)
#    7770839 (trigger 1036480800)
#    7772651 (trigger 1036480800)
#    7774323 (trigger 1036480800)
#    7770719 (trigger 1037420800)
#    7774319 (trigger 1037420800)
#    7770846 (trigger 1039430800)
#    7774324 (trigger 1039430800)
#    7770857 (trigger 1039510800)
#    7772842 (trigger 1039510800)
#    7770036 (trigger 1044530800)
#    7770862 (trigger 1044530800)
#    7770863 (trigger 1044530800)
#    7772999 (trigger 1044530800)
#    7773044 (trigger 1044530800)
#    7774459 (trigger 1044530800)
#    7774461 (trigger 1044530800)
#    7774619 (trigger 1252520800)
#    7774620 (trigger 1252520800)
#    7900275 (trigger 1252520800)
#    7773868 (trigger 2049440800)
#    7770746 (trigger 2050430800)
#    7773683 (trigger 2050430800)
#    7773727 (trigger 2050430800)
#    7773748 (trigger 2050430800)
#    7774051 (trigger 2050480810)
#    7774059 (trigger 2050480810)
#    7773677 (trigger 2050480811)
#    7774055 (trigger 2050480811)
#    7900199 (trigger 2050480811)
#    ... 2 more
# REFUSED 0 ARENA AT ORIGIN
# REFUSED 3436 ALREADY POSITIONED:
#    7770041
#    7770047
#    7770911
#    7770913
#    7770915
#    7770917
#    7770919
#    7770921
#    7770923
#    7770925
#    7770927
#    7770929
#    7770931
#    7770933
#    7770935
#    7770937
#    7770939
#    7770941
#    7770945
#    7770947
#    7770949
#    7770951
#    7770953
#    7770955
#    7770957
#    7770960
#    7770963
#    7770965
#    7770967
#    7770969
#    7770971
#    7770973
#    7770975
#    7770977
#    7770979
#    7770981
#    7770983
#    7770985
#    7770987
#    7770989
#    ... 3396 more
ap_location_id	check_flag	trigger_defeat_flag	boss_map	local_x	local_y	local_z	anchor
7770008	9500	11050800	m11_05_00_00	41.02	65.12	-421.28	sweep_arena
7770010	9504	35000800	m35_00_00_00	74.54	-298.53	-80.61	sweep_arena
7770022	60450	1037530800	m60_37_53_00	52.79	903.67	-88.34	sweep_arena
7770029	65040	1033430800	m60_33_43_00	43.42	291.36	28.77	sweep_arena
7770030	65060	1041530800	m60_41_53_00	-77.48	785.14	29.23	sweep_arena
7770031	65090	1043330800	m60_43_33_00	-55.4	83.11	21.96	sweep_arena
7770032	65100	1047400800	m60_47_40_00	-102.34	126.24	102.54	sweep_arena
7770035	65180	1037540810	m60_37_54_00	-33.39	856.8	-72.88	sweep_arena
7770039	65270	1040530800	m60_40_53_00	-92.85	802.27	71.05	sweep_arena
7770040	65290	1038480800	m60_38_48_00	-30.17	404.2	-102.92	sweep_arena
7770169	68870	2048380850	m61_48_39_00	-90.03	32.28	-91.6	sweep_arena
7770661	400050	1044360800	m60_44_36_00	17.39	80.81	29.78	sweep_arena
7770662	400061	1034450800	m60_34_45_00	-8.09	237.38	-10.62	sweep_arena
7770663	400070	1039540800	m60_39_54_00	-53.72	768.29	56.51	sweep_arena
7770664	400071	16000850	m16_00_00_00	62.32	7.82	-211.48	sweep_arena
7770666	400073	16000860	m16_00_00_00	229.67	-133.52	-251.97	sweep_arena
7770667	400074	16000800	m16_00_00_00	93.69	-438.87	-118.41	sweep_arena
7770668	400075	16000850	m16_00_00_00	62.32	7.82	-211.48	sweep_arena
7770669	400076	16000860	m16_00_00_00	229.67	-133.52	-251.97	sweep_arena
7770670	400077	16000800	m16_00_00_00	93.69	-438.87	-118.41	sweep_arena
7770671	400078	16000850	m16_00_00_00	62.32	7.82	-211.48	sweep_arena
7770675	400107	14000850	m14_00_00_00	151.24	110.57	-222.99	sweep_arena
7770676	400148	1034500800	m60_34_50_00	76.01	440.94	63.31	sweep_arena
7770677	400149	1035500800	m60_35_50_00	-31.85	430.95	100.61	sweep_arena
7770679	400174	13000830	m13_00_00_00	14.45	1009.59	329.5	sweep_arena
7770681	400180	16000800	m16_00_00_00	93.69	-438.87	-118.41	sweep_arena
7770682	400183	31000800	m31_00_00_00	-140.26	-10.88	42.92	sweep_arena
7770683	400191	1042380850	m60_42_38_00	12.3	188.02	89.59	sweep_arena
7770684	400210	18000850	m18_00_00_00	-40.94	10.67	41.1	sweep_arena
7770685	400240	1034500800	m60_34_50_00	76.01	440.94	63.31	sweep_arena
7770686	400241	1035500800	m60_35_50_00	-31.85	430.95	100.61	sweep_arena
7770692	400290	16000850	m16_00_00_00	62.32	7.82	-211.48	sweep_arena
7770693	400291	16000860	m16_00_00_00	229.67	-133.52	-251.97	sweep_arena
7770694	400292	13000800	m13_00_00_00	197.21	-32.52	374.75	sweep_arena
7770696	400308	1043530800	m60_44_53_00	-23.58	1025.94	75.99	sweep_arena
7770701	400324	15000800	m15_00_00_00	-25.87	51.95	477.41	sweep_arena
7770703	400339	12030800	m12_03_00_00	-370.11	149.47	-203.44	sweep_arena
7770711	400362	14000850	m14_00_00_00	151.24	110.57	-222.99	sweep_arena
7770714	400382	35000800	m35_00_00_00	74.54	-298.53	-80.61	sweep_arena
7770715	400390	1042360800	m60_42_36_00	-11.66	89.01	47.46	sweep_arena
7770716	400393	1035420800	m60_35_42_00	-38.61	269.17	-17.9	sweep_arena
7770717	400394	12010850	m12_01_00_00	-224.54	-317.06	-306.44	sweep_arena
7770720	400411	1048570800	m60_48_57_00	-106.89	1255.08	116.48	sweep_arena
7770723	400460	1039440800	m60_39_44_00	-81.59	294.79	-41.36	sweep_arena
7770724	400470	1048400800	m60_48_40_00	-118.79	138.42	-91.28	sweep_arena
7770725	400480	15000850	m15_00_00_00	174.37	431.66	307.9	sweep_arena
7770727	400500	11050850	m11_05_00_00	-132.34	31.03	-386.62	sweep_arena
7770728	400510	1040530800	m60_40_53_00	-92.85	802.27	71.05	sweep_arena
7770729	400594	21000850	m15_00_00_00	-25.87	51.95	477.41	sweep_arena
7770730	400595	21010800	m15_00_00_00	174.37	431.66	307.9	sweep_arena
7770731	400598	20010800	m20_01_00_00	-287.24	299.7	-141.21	sweep_arena
7770733	400614	20010800	m20_01_00_00	-287.24	299.7	-141.21	sweep_arena
7770734	400620	21010800	m15_00_00_00	174.37	431.66	307.9	sweep_arena
7770735	400622	21010800	m15_00_00_00	174.37	431.66	307.9	sweep_arena
7770736	400623	21010800	m15_00_00_00	174.37	431.66	307.9	sweep_arena
7770737	400624	20010850	m20_01_00_00	-221.56	174.59	-328.75	sweep_arena
7770738	400625	21010800	m15_00_00_00	174.37	431.66	307.9	sweep_arena
7770739	400632	22000800	m22_00_00_00	-70.1	-295.01	104.29	sweep_arena
7770740	400634	20010800	m20_01_00_00	-287.24	299.7	-141.21	sweep_arena
7770742	400645	20010800	m20_01_00_00	-287.24	299.7	-141.21	sweep_arena
7770743	400690	21000850	m15_00_00_00	-25.87	51.95	477.41	sweep_arena
7770744	400692	21000850	m15_00_00_00	-25.87	51.95	477.41	sweep_arena
7770745	400694	20000800	m20_00_00_00	-43.02	118.48	336.61	sweep_arena
7770747	400720	20000800	m20_00_00_00	-43.02	118.48	336.61	sweep_arena
7770748	400721	20000800	m20_00_00_00	-43.02	118.48	336.61	sweep_arena
7770750	400723	20000800	m20_00_00_00	-43.02	118.48	336.61	sweep_arena
7770751	400732	20010850	m20_01_00_00	-221.56	174.59	-328.75	sweep_arena
7770752	400740	22000800	m22_00_00_00	-70.1	-295.01	104.29	sweep_arena
7770769	510420	20010800	m20_01_00_00	-287.24	299.7	-141.21	sweep_arena
7770779	510740	34140850	m34_14_00_00	572.7	-373.48	-321.0	sweep_arena
7770789	520330	31030800	m31_03_00_00	-120.79	88.28	80.77	sweep_arena
7770790	520340	31150800	m31_15_00_00	30.89	-29.31	-99.84	sweep_arena
7770792	530100	1042360800	m60_42_36_00	-11.66	89.01	47.46	sweep_arena
7770793	530110	1043360800	m60_43_36_00	-95.5	64.96	80.23	sweep_arena
7770794	530120	1042370800	m60_42_37_00	-83.61	160.59	65.0	sweep_arena
7770795	530130	1044350800	m60_44_34_00	-17.4	105.68	119.83	sweep_arena
7770796	530170	1045390800	m60_45_39_00	-35.05	92.23	1.29	sweep_arena
7770797	530210	1034450800	m60_34_45_00	-8.09	237.38	-10.62	sweep_arena
7770798	530225	1035420800	m60_35_42_00	-38.61	269.17	-17.9	sweep_arena
7770799	530240	1039440800	m60_39_44_00	-81.59	294.79	-41.36	sweep_arena
7770800	530245	1038410800	m60_38_41_00	3.89	257.37	-124.93	sweep_arena
7770801	530250	1033450800	m60_33_45_00	-52.3	245.05	-29.6	sweep_arena
7770802	530255	1036500800	m60_36_50_00	121.09	379.63	10.94	sweep_arena
7770804	530265	1033420800	m60_33_42_00	-40.57	346.7	86.24	sweep_arena
7770805	530300	1037510800	m60_37_51_00	98.54	703.67	29.05	sweep_arena
7770806	530310	1041500800	m60_41_50_00	42.84	834.24	109.24	sweep_arena
7770809	530335	1041510800	m60_41_51_00	91.09	851.27	-31.35	sweep_arena
7770810	530350	1040520800	m60_40_52_00	51.64	884.14	7.32	sweep_arena
7770813	530390	1035530800	m60_35_53_00	-3.79	824.0	-70.69	sweep_arena
7770814	530400	1048370800	m60_48_37_00	-48.09	114.95	-42.67	sweep_arena
7770815	530600	12010850	m12_01_00_00	-224.54	-317.06	-306.44	sweep_arena
7770816	530620	12020830	m12_02_00_00	1240.1	-748.45	1738.16	sweep_arena
7770817	540100	1042380800	m60_42_38_00	120.54	183.82	50.97	sweep_arena
7770818	540104	1042380850	m60_42_38_00	12.3	188.02	89.59	sweep_arena
7770819	540108	1043370800	m60_43_37_00	72.46	90.96	-94.7	sweep_arena
7770820	540112	1044360800	m60_44_36_00	17.39	80.81	29.78	sweep_arena
7770821	540116	1044360800	m60_44_36_00	17.39	80.81	29.78	sweep_arena
7770822	540118	1047400800	m60_47_40_00	-102.34	126.24	102.54	sweep_arena
7770823	540120	1042380850	m60_42_38_00	12.3	188.02	89.59	sweep_arena
7770824	540132	1042330800	m60_42_33_00	-126.39	19.91	108.76	sweep_arena
7770825	540136	1043330800	m60_43_33_00	-55.4	83.11	21.96	sweep_arena
7770826	540138	1044320800	m60_44_32_00	-103.38	41.2	7.57	sweep_arena
7770827	540140	1044320850	m60_44_32_00	36.61	42.82	102.45	sweep_arena
7770828	540142	1043370800	m60_43_37_00	72.46	90.96	-94.7	sweep_arena
7770829	540144	1042360800	m60_42_36_00	-11.66	89.01	47.46	sweep_arena
7770830	540146	1042380800	m60_42_38_00	120.54	183.82	50.97	sweep_arena
7770831	540170	10000800	m10_00_00_00	-233.64	73.69	349.6	sweep_arena
7770832	540172	10000850	m10_00_00_00	-16.94	-2.75	-17.6	sweep_arena
7770833	540174	10000800	m10_00_00_00	-233.64	73.69	349.6	sweep_arena
7770834	540200	1034500800	m60_34_50_00	76.01	440.94	63.31	sweep_arena
7770836	540204	1036500800	m60_36_50_00	121.09	379.63	10.94	sweep_arena
7770837	540206	1038410800	m60_38_41_00	3.89	257.37	-124.93	sweep_arena
7770838	540208	1035420800	m60_35_42_00	-38.61	269.17	-17.9	sweep_arena
7770840	540218	1033430800	m60_33_43_00	43.42	291.36	28.77	sweep_arena
7770841	540220	1035500800	m60_35_50_00	-31.85	430.95	100.61	sweep_arena
7770842	540224	1037510800	m60_37_51_00	98.54	703.67	29.05	sweep_arena
7770843	540236	1038480800	m60_38_48_00	-30.17	404.2	-102.92	sweep_arena
7770844	540238	1033430800	m60_33_43_00	43.42	291.36	28.77	sweep_arena
